vol,heure,X,y,modec,modea
5137,10:25:20.680,91.47,-60.44,285,5024
5137,10:28:41.129,76.34,-41.14,255,6103
5137,10:31:54.578,62.41,-22.64,231,7434
5137,10:35:18.801,66.95,0.55,229,7434
5137,10:38:35.078,52.95,0.45,231,7434
5137,10:42:11.480,53.16,-20.89,230,7434
5137,10:45:47.512,63.69,-1.92,230,7434
5137,10:49:23.730,65.19,21.73,227,7434
5137,10:53:07.879,52.27,4.02,230,7434
5137,10:56:40.461,50.5,-18.77,230,7434
5137,10:56:48.871,50.94,-19.47,231,7434
5137,11:00:33.051,65.44,-5.12,229,7434
5137,11:01:54.301,67.03,4.09,231,7434
5137,11:04:21.309,62.12,19.14,230,7434
5137,11:07:19.488,52.14,3.61,231,7434
5137,11:08:20.941,50.45,-3.09,230,7434
5137,11:12:20.531,54.89,-25.61,231,7434
5137,11:12:32.711,56.12,-25.31,230,7434
5137,11:16:20.379,67.66,-2.94,230,7434
5137,11:17:37.809,67.97,6.16,229,7434
5137,11:20:09.059,61.06,18.86,230,7434
5137,11:22:51.672,52.53,3.48,231,7434
5137,11:23:57.379,51.38,-3.86,231,7434
5137,11:27:45.461,59.34,-20.34,232,7434
5137,11:27:56.359,60.12,-19.39,231,7434
5137,11:31:37.629,67.33,4.89,229,7434
5137,11:33:05.012,67.98,14.92,230,7434
5137,11:35:25.730,58.45,23.06,230,7434
5137,11:38:23.121,52.78,4.12,230,7434
5137,11:39:14.070,51.91,-1.62,231,7434
5137,11:42:58.059,62,-17.25,229,7434
5137,11:43:36.512,62.5,-13.92,231,7434
5137,11:46:43.090,66.7,7.11,229,7434
5137,11:48:45.680,65.34,20.81,228,7434
5137,11:50:19.238,56.33,18.27,232,7434
5137,11:53:58.621,51.19,-6.08,231,7434
5137,11:54:07.320,51.06,-6.98,230,7434
5137,11:57:35.520,56.88,-22.91,230,7434
5137,11:59:04.379,62.16,-14.7,229,7434
5137,12:01:11.730,65.06,-0.44,229,7434
5137,12:04:17.191,62.28,19.81,232,7434
5137,12:04:47.711,58.75,20.47,230,7434
5137,12:08:20.922,49.44,-0.75,231,7434
5137,12:09:25.480,47.23,-7.62,231,7434
5137,12:11:56.891,48.12,-22.94,231,7434
5137,12:14:26.371,60.56,-16.8,230,7434
5137,12:15:33.160,62.5,-9.44,230,7434
5137,12:19:01.441,65.45,14.45,231,7434
5137,12:19:31.859,64.88,17.92,231,7434
5137,12:22:30.109,52.19,10.47,232,7434
5137,12:24:20.180,49.06,-1.16,233,7434
5137,12:25:54.160,47.75,-11.38,229,7434
5137,12:29:12.590,44.14,-32.78,231,7434
5137,12:29:30.559,44.2,-34.69,232,7434
5137,12:33:06.629,59.92,-28.34,228,7434
5137,12:34:00.730,61.41,-22.3,230,7434
5137,12:36:38.531,64.86,-4.41,232,7434
5137,12:38:56.809,63.2,12.14,241,6106
5137,12:39:12.160,61.88,13.58,241,6106
5137,12:39:51.770,57.16,11.58,245,6106
5137,12:40:08.020,59.52,18.61,228,7434
5137,12:43:13.500,45.06,-6,305,6106
5137,12:43:23.738,44.31,-9.09,305,6106
5137,12:43:39.809,61.05,0.3,277,6103
5137,12:43:53.801,43.48,-12.88,305,6106
5137,12:46:51.941,36.33,-34.02,305,6106
5137,12:47:01.980,35.88,-35.16,305,6106
5137,12:47:15.941,75.48,-20.45,276,6103
5137,12:48:58.211,21.42,-39.52,305,6106
5137,12:50:20.422,10.23,-39.56,305,6503
5137,12:50:44.430,91.38,-39.77,276,6103
5137,12:51:02.309,4.48,-39.53,305,6503
5137,12:53:50.461,-15.27,-46.92,305,6503
5137,12:53:56.480,-15.78,-47.5,305,6503
5137,12:55:06.871,-21.61,-54.23,305,6503
5137,12:57:20.648,-32.97,-67.25,305,6503
5137,12:58:58.988,-41.33,-76.81,305,6503
5137,12:59:11.121,-42.34,-77.94,305,6503
5137,13:00:40.691,-49.94,-86.52,305,6503
5137,13:07:18.020,-75.91,-127.94,305,2653
5137,13:07:25.090,-76.11,-128.77,305,2653
5137,13:10:42.270,-81.06,-153.31,305,2653
5137,13:11:45.980,-82.72,-161.3,305,2653
5137,13:13:58.430,-86.12,-178.14,305,2653
5137,13:16:02.859,-89.34,-193.83,305,2653
5137,13:17:22.840,-82.34,-200.14,305,2653
5137,13:20:15.590,-75.83,-180.48,305,2653
5137,13:20:43.230,-75.75,-176.92,305,2653
5137,13:24:07.340,-75.33,-150.36,305,2653
5137,13:24:19.879,-75.36,-148.72,305,2653
5137,13:27:32.570,-74.92,-123.5,305,2653
5137,13:28:33.730,-74.84,-115.36,305,2653
5137,13:30:48.789,-74.5,-97.45,305,2653
5137,13:32:58.488,-74.23,-80.42,305,2653
5137,13:34:08.879,-74.08,-71.23,305,2653
5137,13:37:23.148,-65.69,-79.06,305,2653
5137,13:37:33.262,-65.89,-80.38,305,2653
5137,13:41:01.590,-69.88,-106.61,305,2653
5137,13:42:00.172,-70.52,-113.95,305,2653
5137,13:44:45.559,-72.3,-134.67,305,2653
5137,13:46:28.910,-83.39,-133.28,304,2653
5137,13:48:37.660,-82.5,-115.89,303,2653
5137,13:51:22.379,-82.69,-125.08,302,2653
5137,13:52:37.930,-79.11,-117.78,302,2653
5137,13:56:19.590,-79.34,-120.09,301,2653
5137,13:56:23.012,-79.31,-119.77,301,2653
5137,14:00:15.320,-80.64,-94.38,301,2653
5137,14:01:16.059,-86.75,-93.31,301,2653
5137,14:04:11.500,-86.62,-111.05,241,2653
5137,14:06:24.578,-76.73,-106.78,59,2653
5137,14:08:03.789,-75.19,-112.17,47,2653
5137,14:11:26.340,-86.45,-135.53,47,2653
5137,14:11:59.711,-85.2,-138.91,46,2653
5137,14:15:41.270,-81.28,-109.91,48,2653
5137,14:16:27.039,-79.48,-104.42,46,2653
5137,14:19:25.480,-81.72,-128.09,47,2653
5137,14:21:27.691,-87.62,-139.72,47,2653
5137,14:23:13.059,-80.69,-127.31,47,2653
5137,14:26:32.629,-67.27,-132.05,48,2653
5137,14:26:49.371,-65.64,-132.72,48,2653
5137,14:30:41.262,-53.3,-150.55,18,2653
5137,14:31:33.180,-48.95,-147.92,13,2653
7939,17:15:13.520,-71.67,-12.53,270,1737
7939,17:18:18.102,-55.73,-20.45,270,1737
7939,17:21:19.121,-39.5,-28.47,270,1737
7939,17:24:23.578,-21.36,-29.61,258,1737
7939,17:27:23.660,-5.11,-23,194,1737
7939,17:30:24.840,10.7,-20.58,138,1737
7939,17:33:25.172,25.72,-15.62,111,1737
7939,17:36:25.738,39.19,-8.58,60,1737
7939,17:39:26.070,52.2,-4.89,59,1737
7939,17:42:30.379,65.83,-2.5,60,6022
7939,17:45:30.738,78.03,-0.73,60,6022
7939,17:48:23.309,89.41,-0.47,59,6022
7939,17:51:23.359,101.11,1.06,26,6022