type_cepage,surface_ha,wine_surface_proportion,year
ALICANTE_H.BOUS.N,6.262,0.7,2006
ALIGOTE_B,1.929,0.2,2006
ARAMON_N,3.735,0.4,2006
AUBUN_N,784,0.1,2006
AUXERROIS_B,2.264,0.3,2006
BACO_BLANC_B,893,0.1,2006
BOURBOULENC_B,636,0.1,2006
CABER.SAUVIGNON_N,58.940,6.7,2006
CABERNET_FRANC_N,37.959,4.3,2006
CALADOC_N,2.356,0.3,2006
CARIGNAN_B,512,0.1,2006
CARIGNAN_N,64.500,7.4,2006
CHAMBOURCIN_N,871,0.1,2006
CHARDONNAY_B,43.112,4.9,2006
CHASAN_B,894,0.1,2006
CHASSELAS_B,717,0.1,2006
CHENANSON_N,565,0.1,2006
CHENIN_B,9.781,1.1,2006
CINSAULT_N,23.347,2.7,2006
CLAIRETTE_B,2.531,0.3,2006
COLOMBARD_B,7.693,0.9,2006
COT_N,6.394,0.7,2006
COUNOISE_N,485,0.1,2006
DURAS_N,998,0.1,2006
FER_N,1.658,0.2,2006
FOLLE_BLANCHE_B,1.879,0.2,2006
GAMAY_N,33.064,3.8,2006
GEWURZTRAMINER_RS,2.989,0.3,2006
GR.MANSENG_BLANC_B,2.869,0.3,2006
GRENACHE_B,5.131,0.6,2006
GRENACHE_G,1.806,0.2,2006
GRENACHE_N,98.191,11.2,2006
GROLLEAU_G,463,0.1,2006
GROLLEAU_N,2.390,0.3,2006
HYBRID.DIV.CUVE,5.151,0.6,2006
Inconnu,827,0.1,2006
JACQUERE_B,1.064,0.1,2006
JURANCON_NOIR_N,873,0.1,2006
LEN_DE_L'EL_B,677,0.1,2006
LLEDONER_PELUT_N,481,0.1,2006
MACABEU_B,2.965,0.3,2006
MARSANNE_B,1.295,0.1,2006
MARSELAN,1.997,0.2,2006
MAUZAC_B,2.232,0.3,2006
MELON_B,12.531,1.4,2006
MERLOT_N,117.299,13.4,2006
MEUNIER_N,11.071,1.3,2006
MOURVEDRE_N,9.533,1.1,2006
MUSC.PTS.GRAINS_B,7.501,0.9,2006
MUSCADELLE_B,1.657,0.2,2006
MUSCAT_ALEXANDR._B,2.712,0.3,2006
MUSCAT_HAMBOURG_N,584,0.1,2006
NEGRETTE_N,1.424,0.2,2006
NIELLUCCIO_N,1.647,0.2,2006
PETIT_VERDOT_N,799,0.1,2006
PINEAU_D'AUNIS_N,445,0.1,2006
PINOT_BLANC_B,1.238,0.1,2006
PINOT_GRIS_G,2.518,0.3,2006
PINOT_N,28.861,3.3,2006
PIQUEPOUL_B,1.390,0.2,2006
PLANTET_N,1.253,0.1,2006
PT.MANSENG_B,961,0.1,2006
RIESLING_B,3.455,0.4,2006
ROUSSANNE_B,1.233,0.1,2006
SAUVIGNON_B,25.311,2.9,2006
SAVAGNIN_BLANC_B,458,0.1,2006
SCIACCARELLO_N,768,0.1,2006
SEMILLON_B,12.122,1.4,2006
SYLVANER_B,1.501,0.2,2006
SYRAH_N,69.698,8.0,2006
TANNAT_N,3.065,0.4,2006
TEMPRANILLO_N,973,0.1,2006
TERRET_B,1.725,0.2,2006
TIBOUREN_N,441,0.1,2006
UGNI_B,83.238,9.5,2006
VERMENTINO_B,3.315,0.4,2006
VILLARD_N,1.488,0.2,2006
VINIFS._CUVE,2.263,0.3,2006
VIOGNIER_B,3.744,0.4,2006
AUTRES,9.888,1.1,2006
ALICANTE_H.BOUS.N,5509,0.6,2007
ALIGOTE_B,1924,0.2,2007
ARAMON_N,3165,0.4,2007
AUBUN_N,690,0.1,2007
AUXERROIS_B,2267,0.3,2007
BACO_BLANC_B,829,0.1,2007
BOURBOULENC_B,611,0.1,2007
CABER.SAUVIGNON_N,57481,6.7,2007
CABERNET_FRANC_N,37244,4.3,2007
CALADOC_N,2435,0.3,2007
CARIGNAN_B,451,0.1,2007
CARIGNAN_N,57883,6.8,2007
CHAMBOURCIN_N,782,0.1,2007
CHARDONNAY_B,43671,5.1,2007
CHASAN_B,847,0.1,2007
CHASSELAS_B,677,0.1,2007
CHENANSON_N,537,0.1,2007
CHENIN_B,9764,1.1,2007
CINSAULT_N,21898,2.6,2007
CLAIRETTE_B,2484,0.3,2007
COLOMBARD_B,7674,0.9,2007
COT_N,6220,0.7,2007
COUNOISE_N,464,0.1,2007
DURAS_N,939,0.1,2007
FER_N,1618,0.2,2007
FOLLE_BLANCHE_B,1831,0.2,2007
GAMAY_N,31356,3.7,2007
GEWURZTRAMINER_RS,3003,0.4,2007
GR.MANSENG_BLANC_B,2885,0.3,2007
GRENACHE_B,5032,0.6,2007
GRENACHE_G,1732,0.2,2007
GRENACHE_N,96295,11.2,2007
GROLLEAU_G,455,0.1,2007
GROLLEAU_N,2352,0.3,2007
HYBRID.DIV.CUVE,4818,0.6,2007
Inconnu,775,0.1,2007
JACQUERE_B,1046,0.1,2007
JURANCON_NOIR_N,773,0.1,2007
LEN_DE_L'EL_B,649,0.1,2007
LLEDONER_PELUT_N,455,0.1,2007
MACABEU_B,2742,0.3,2007
MARSANNE_B,1317,0.2,2007
MARSELAN,2213,0.3,2007
MAUZAC_B,2065,0.2,2007
MELON_B,12424,1.5,2007
MERLOT_N,116482,13.6,2007
MEUNIER_N,11333,1.3,2007
MOURVEDRE_N,9418,1.1,2007
MUSC.PTS.GRAINS_B,7567,0.9,2007
MUSCADELLE_B,1612,0.2,2007
MUSCAT_ALEXANDR._B,2619,0.3,2007
MUSCAT_HAMBOURG_N,591,0.1,2007
NEGRETTE_N,1282,0.1,2007
NIELLUCCIO_N,1635,0.2,2007
PETIT_VERDOT_N,831,0.1,2007
PINEAU_D'AUNIS_N,435,0.1,2007
PINOT_BLANC_B,1291,0.2,2007
PINOT_GRIS_G,2541,0.3,2007
PINOT_N,29459,3.4,2007
PIQUEPOUL_B,1421,0.2,2007
PLANTET_N,1141,0.1,2007
PT.MANSENG_B,989,0.1,2007
RIESLING_B,3447,0.4,2007
ROUSSANNE_B,1285,0.1,2007
SAUVIGNON_B,25835,3.0,2007
SAUVIGNON_GRIS_G,420,0.0,2007
SAVAGNIN_BLANC_B,462,0.1,2007
SCIACCARELLO_N,781,0.1,2007
SEMILLON_B,11839,1.4,2007
SYLVANER_B,1418,0.2,2007
SYRAH_N,69202,8.1,2007
TANNAT_N,2956,0.3,2007
TEMPRANILLO_N,850,0.1,2007
TERRET_B,1556,0.2,2007
TIBOUREN_N,440,0.1,2007
UGNI_B,83316,9.7,2007
VERMENTINO_B,3417,0.4,2007
VILLARD_N,1354,0.2,2007
VINIFS._CUVE,2093,0.2,2007
VIOGNIER_B,4081,0.5,2007
AUTRES,8970,1.0,2007
ALICANTE_H.BOUS.N,4816,0.6,2008
ALIGOTE_B,1927,0.2,2008
ARAMON_N,2790,0.3,2008
AUBUN_N,626,0.1,2008
AUXERROIS_B,2282,0.3,2008
BACO_BLANC_B,770,0.1,2008
BOURBOULENC_B,587,0.1,2008
CABER.SAUVIGNON_N,55812,6.7,2008
CABERNET_FRANC_N,36690,4.4,2008
CALADOC_N,2432,0.3,2008
CARIGNAN_B,408,0.0,2008
CARIGNAN_N,52175,6.2,2008
CHAMBOURCIN_N,748,0.1,2008
CHARDONNAY_B,44253,5.3,2008
CHASAN_B,791,0.1,2008
CHASSELAS_B,651,0.1,2008
CHENANSON_N,498,0.1,2008
CHENIN_B,9782,1.2,2008
CINSAULT_N,20425,2.4,2008
CLAIRETTE_B,2369,0.3,2008
COLOMBARD_B,7732,0.9,2008
COT_N,6119,0.7,2008
COUNOISE_N,437,0.1,2008
DURAS_N,917,0.1,2008
FER_N,1593,0.2,2008
FOLLE_BLANCHE_B,1762,0.2,2008
GAMAY_N,30286,3.6,2008
GEWURZTRAMINER_RS,3037,0.4,2008
GR.MANSENG_BLANC_B,2896,0.3,2008
GRENACHE_B,4931,0.6,2008
GRENACHE_G,1683,0.2,2008
GRENACHE_N,93228,11.1,2008
GROLLEAU_G,452,0.1,2008
GROLLEAU_N,2337,0.3,2008
HYBRID.DIV.CUVE,4639,0.6,2008
Inconnu,741,0.1,2008
JACQUERE_B,1024,0.1,2008
JURANCON_NOIR_N,699,0.1,2008
LEN_DE_L'EL_B,642,0.1,2008
LLEDONER_PELUT_N,425,0.1,2008
MACABEU_B,2584,0.3,2008
MARSANNE_B,1327,0.2,2008
MARSELAN,2329,0.3,2008
MAUZAC_B,1978,0.2,2008
MELON_B,12341,1.5,2008
MERLOT_N,115296,13.7,2008
MEUNIER_N,11087,1.3,2008
MOURVEDRE_N,9275,1.1,2008
MUSC.PTS.GRAINS_B,7547,0.9,2008
MUSCADELLE_B,1589,0.2,2008
MUSCAT_ALEXANDR._B,2572,0.3,2008
MUSCAT_HAMBOURG_N,573,0.1,2008
NEGRETTE_N,1213,0.1,2008
NIELLUCCIO_N,1510,0.2,2008
PETIT_VERDOT_N,867,0.1,2008
PINEAU_D'AUNIS_N,437,0.1,2008
PINOT_BLANC_B,1285,0.2,2008
PINOT_GRIS_G,2570,0.3,2008
PINOT_N,29602,3.5,2008
PIQUEPOUL_B,1455,0.2,2008
PLANTET_N,1092,0.1,2008
PT.MANSENG_B,1019,0.1,2008
RIESLING_B,3461,0.4,2008
ROUSSANNE_B,1336,0.2,2008
SAUVIGNON_B,26476,3.2,2008
SAUVIGNON_GRIS_G,478,0.1,2008
SAVAGNIN_BLANC_B,467,0.1,2008
SCIACCARELLO_N,752,0.1,2008
SEMILLON_B,11671,1.4,2008
SYLVANER_B,1381,0.2,2008
SYRAH_N,67834,8.1,2008
TANNAT_N,2873,0.3,2008
TEMPRANILLO_N,755,0.1,2008
TERRET_B,1428,0.2,2008
TIBOUREN_N,440,0.1,2008
UGNI_B,83773,10.0,2008
VERMENTINO_B,3518,0.4,2008
VILLARD_N,1303,0.2,2008
VINIFS._CUVE,2002,0.2,2008
VIOGNIER_B,4351,0.5,2008
AUTRES,8581,1.0,2008
ALICANTE_H.BOUS.N,4308,0.5,2009
ALIGOTE_B,1926,0.2,2009
ARAMON_N,2540,0.3,2009
AUBUN_N,545,0.1,2009
AUXERROIS_B,2296,0.3,2009
BACO_BLANC_B,725,0.1,2009
BOURBOULENC_B,579,0.1,2009
CABER.SAUVIGNON_N,54140,6.6,2009
CABERNET_FRANC_N,36093,4.4,2009
CALADOC_N,2443,0.3,2009
CARIGNAN_N,47665,5.8,2009
CHAMBOURCIN_N,725,0.1,2009
CHARDONNAY_B,44787,5.4,2009
CHASAN_B,746,0.1,2009
CHASSELAS_B,632,0.1,2009
CHENANSON_N,466,0.1,2009
CHENIN_B,9756,1.2,2009
CINSAULT_N,19458,2.4,2009
CLAIRETTE_B,2313,0.3,2009
COLOMBARD_B,8062,1.0,2009
COT_N,6072,0.7,2009
COUNOISE_N,407,0.0,2009
DURAS_N,887,0.1,2009
FER_N,1575,0.2,2009
FOLLE_BLANCHE_B,1728,0.2,2009
GAMAY_N,29671,3.6,2009
GEWURZTRAMINER_RS,3123,0.4,2009
GR.MANSENG_BLANC_B,2923,0.4,2009
GRENACHE_B,4980,0.6,2009
GRENACHE_G,1626,0.2,2009
GRENACHE_N,90556,11.0,2009
GROLLEAU_G,449,0.1,2009
GROLLEAU_N,2293,0.3,2009
HYBRID.DIV.CUVE,4516,0.5,2009
Inconnu,730,0.1,2009
JACQUERE_B,1013,0.1,2009
JURANCON_NOIR_N,663,0.1,2009
LEN_DE_L'EL_B,626,0.1,2009
LLEDONER_PELUT_N,407,0.0,2009
MACABEU_B,2444,0.3,2009
MARSANNE_B,1347,0.2,2009
MARSELAN,2534,0.3,2009
MAUZAC_B,1895,0.2,2009
MELON_B,12303,1.5,2009
MERLOT_N,114104,13.8,2009
MEUNIER_N,11087,1.3,2009
MOURVEDRE_N,9204,1.1,2009
MUSC.PTS.GRAINS_B,7608,0.9,2009
MUSCADELLE_B,1561,0.2,2009
MUSCAT_ALEXANDR._B,2553,0.3,2009
MUSCAT_HAMBOURG_N,580,0.1,2009
NEGRETTE_N,1187,0.1,2009
NIELLUCCIO_N,1498,0.2,2009
PETIT_VERDOT_N,885,0.1,2009
PINEAU_D'AUNIS_N,436,0.1,2009
PINOT_BLANC_B,1274,0.2,2009
PINOT_GRIS_G,2617,0.3,2009
PINOT_N,29940,3.6,2009
PIQUEPOUL_B,1490,0.2,2009
PLANTET_N,1060,0.1,2009
PT.MANSENG_B,1051,0.1,2009
RIESLING_B,3484,0.4,2009
ROUSSANNE_B,1430,0.2,2009
SAUVIGNON_B,27355,3.3,2009
SAUVIGNON_GRIS_G,538,0.1,2009
SAVAGNIN_BLANC_B,469,0.1,2009
SCIACCARELLO_N,786,0.1,2009
SEMILLON_B,11526,1.4,2009
SYLVANER_B,1344,0.2,2009
SYRAH_N,66817,8.1,2009
TANNAT_N,2832,0.3,2009
TEMPRANILLO_N,679,0.1,2009
TERRET_B,1389,0.2,2009
TIBOUREN_N,440,0.1,2009
UGNI_B,83426,10.1,2009
VERMENTINO_B,3777,0.5,2009
VILLARD_N,1263,0.2,2009
VINIFS._CUVE,1961,0.2,2009
VIOGNIER_B,4738,0.6,2009
AUTRES,8621,1.0,2009
ALICANTE_H.BOUS.N,3837,0.5,2010
ALIGOTE_B,1938,0.2,2010
ARAMON_N,2254,0.3,2010
AUBUN_N,481,0.1,2010
AUXERROIS_B,2308,0.3,2010
BACO_BLANC_B,678,0.1,2010
BOURBOULENC_B,571,0.1,2010
CABER.SAUVIGNON_N,52711,6.5,2010
CABERNET_FRANC_N,35413,4.3,2010
CALADOC_N,2595,0.3,2010
CARIGNAN_N,43223,5.3,2010
CHAMBOURCIN_N,682,0.1,2010
CHARDONNAY_B,45859,5.6,2010
CHASAN_B,684,0.1,2010
CHASSELAS_B,601,0.1,2010
CHENANSON_N,441,0.1,2010
CHENIN_B,9751,1.2,2010
CINSAULT_N,18655,2.3,2010
CLAIRETTE_B,2274,0.3,2010
COLOMBARD_B,8517,1.0,2010
COT_N,6084,0.7,2010
DURAS_N,863,0.1,2010
FER_N,1560,0.2,2010
FOLLE_BLANCHE_B,1468,0.2,2010
GAMAY_N,28687,3.5,2010
GEWURZTRAMINER_RS,3187,0.4,2010
GR.MANSENG_BLANC_B,2982,0.4,2010
GRENACHE_B,5106,0.6,2010
GRENACHE_G,1564,0.2,2010
GRENACHE_N,87607,10.8,2010
GROLLEAU_G,453,0.1,2010
GROLLEAU_N,2229,0.3,2010
HYBRID.DIV.CUVE,4229,0.5,2010
Inconnu,695,0.1,2010
JACQUERE_B,1000,0.1,2010
JURANCON_NOIR_N,603,0.1,2010
LEN_DE_L'EL_B,625,0.1,2010
MACABEU_B,2262,0.3,2010
MARSANNE_B,1420,0.2,2010
MARSELAN,2944,0.4,2010
MAUZAC_B,1831,0.2,2010
MELON_B,11154,1.4,2010
MERLOT_N,113397,13.9,2010
MEUNIER_N,11090,1.4,2010
MOURVEDRE_N,9132,1.1,2010
MUSC.PTS.GRAINS_B,7664,0.9,2010
MUSCADELLE_B,1555,0.2,2010
MUSCAT_ALEXANDR._B,2607,0.3,2010
MUSCAT_HAMBOURG_N,614,0.1,2010
NEGRETTE_N,1156,0.1,2010
NIELLUCCIO_N,1559,0.2,2010
PETIT_VERDOT_N,952,0.1,2010
PINEAU_D'AUNIS_N,442,0.1,2010
PINOT_BLANC_B,1259,0.2,2010
PINOT_GRIS_G,2685,0.3,2010
PINOT_N,30529,3.7,2010
PIQUEPOUL_B,1527,0.2,2010
PLANTET_N,999,0.1,2010
PT.MANSENG_B,1114,0.1,2010
RIESLING_B,3494,0.4,2010
ROUSSANNE_B,1598,0.2,2010
SAUVIGNON_B,28499,3.5,2010
SAUVIGNON_GRIS_G,641,0.1,2010
SAVAGNIN_BLANC_B,475,0.1,2010
SCIACCARELLO_N,829,0.1,2010
SEMILLON_B,11447,1.4,2010
SYLVANER_B,1293,0.2,2010
SYRAH_N,65857,8.1,2010
TANNAT_N,2825,0.3,2010
TEMPRANILLO_N,606,0.1,2010
TERRET_B,1316,0.2,2010
TIBOUREN_N,428,0.1,2010
UGNI_B,82978,10.2,2010
VERMENTINO_B,4236,0.5,2010
VILLARD_N,1191,0.1,2010
VINIFS._CUVE,1838,0.2,2010
VIOGNIER_B,5328,0.7,2010
AUTRES,8983,1.1,2010
ALICANTE_H.BOUS.N,3687,0.5,2011
ALIGOTE_B,1934,0.2,2011
ARAMON_N,2120,0.3,2011
AUBUN_N,458,0.1,2011
AUXERROIS_B,2334,0.3,2011
BACO_BLANC_B,661,0.1,2011
BOURBOULENC_B,564,0.1,2011
CABER.SAUVIGNON_N,51408,6.3,2011
CABERNET_FRANC_N,34951,4.3,2011
CALADOC_N,2864,0.4,2011
CARIGNAN_N,41671,5.1,2011
CHAMBOURCIN_N,657,0.1,2011
CHARDONNAY_B,46828,5.8,2011
CHASAN_B,661,0.1,2011
CHASSELAS_B,584,0.1,2011
CHENANSON_N,451,0.1,2011
CHENIN_B,9761,1.2,2011
CINSAULT_N,18772,2.3,2011
CLAIRETTE_B,2260,0.3,2011
COLOMBARD_B,8875,1.1,2011
COT_N,6152,0.8,2011
DURAS_N,855,0.1,2011
FER_N,1550,0.2,2011
FOLLE_BLANCHE_B,1366,0.2,2011
GAMAY_N,28164,3.5,2011
GEWURZTRAMINER_RS,3253,0.4,2011
GR.MANSENG_BLANC_B,3049,0.4,2011
GRENACHE_B,5507,0.7,2011
GRENACHE_G,1555,0.2,2011
GRENACHE_N,87226,10.7,2011
GROLLEAU_G,455,0.1,2011
GROLLEAU_N,2188,0.3,2011
HYBRID.DIV.CUVE,3722,0.5,2011
Inconnu,644,0.1,2011
JACQUERE_B,983,0.1,2011
JURANCON_NOIR_N,567,0.1,2011
LEN_DE_L'EL_B,625,0.1,2011
MACABEU_B,2171,0.3,2011
MARSANNE_B,1498,0.2,2011
MARSELAN,3340,0.4,2011
MAUZAC_B,1793,0.2,2011
MELON_B,10817,1.3,2011
MERLOT_N,113546,13.9,2011
MEUNIER_N,11090,1.4,2011
MOURVEDRE_N,9315,1.1,2011
MUSC.PTS.GRAINS_B,7810,1.0,2011
MUSCADELLE_B,1548,0.2,2011
MUSCAT_ALEXANDR._B,2668,0.3,2011
MUSCAT_HAMBOURG_N,664,0.1,2011
NEGRETTE_N,1145,0.1,2011
NIELLUCCIO_N,1610,0.2,2011
PETIT_VERDOT_N,1016,0.1,2011
PINEAU_D'AUNIS_N,442,0.1,2011
PINOT_BLANC_B,1237,0.2,2011
PINOT_GRIS_G,2720,0.3,2011
PINOT_N,31118,3.8,2011
PIQUEPOUL_B,1583,0.2,2011
PLANTET_N,979,0.1,2011
PT.MANSENG_B,1163,0.1,2011
RIESLING_B,3499,0.4,2011
ROUSSANNE_B,1731,0.2,2011
SAUVIGNON_B,28911,3.6,2011
SAUVIGNON_GRIS_G,698,0.1,2011
SAVAGNIN_BLANC_B,488,0.1,2011
SCIACCARELLO_N,866,0.1,2011
SEMILLON_B,11357,1.4,2011
SYLVANER_B,1236,0.2,2011
SYRAH_N,66235,8.1,2011
TANNAT_N,2811,0.3,2011
TEMPRANILLO_N,577,0.1,2011
TERRET_B,1280,0.2,2011
TIBOUREN_N,434,0.1,2011
UGNI_B,83206,10.2,2011
VERMENTINO_B,4627,0.6,2011
VILLARD_N,1273,0.2,2011
VINIFS._CUVE,1647,0.2,2011
VIOGNIER_B,5761,0.7,2011
AUTRES,8812,1.1,2011
ALICANTE_H.BOUS.N,3498,0.4,2012
ALIGOTE_B,1932,0.2,2012
ARAMON_N,1996,0.2,2012
AUBUN_N,426,0.1,2012
AUXERROIS_B,2347,0.3,2012
BACO_BLANC_B,656,0.1,2012
BOURBOULENC_B,555,0.1,2012
CABER.SAUVIGNON_N,50723,6.3,2012
CABERNET_FRANC_N,34462,4.3,2012
CALADOC_N,3098,0.4,2012
CARIGNAN_N,40220,5.0,2012
CHAMBOURCIN_N,634,0.1,2012
CHARDONNAY_B,47567,5.9,2012
CHASAN_B,640,0.1,2012
CHASSELAS_B,566,0.1,2012
CHENANSON_N,454,0.1,2012
CHENIN_B,9760,1.2,2012
CINSAULT_N,18739,2.3,2012
CLAIRETTE_B,2252,0.3,2012
COLOMBARD_B,9006,1.1,2012
COT_N,6249,0.8,2012
DURAS_N,855,0.1,2012
FER_N,1545,0.2,2012
FOLLE_BLANCHE_B,1308,0.2,2012
GAMAY_N,27450,3.4,2012
GEWURZTRAMINER_RS,3289,0.4,2012
GR.MANSENG_BLANC_B,3107,0.4,2012
GRENACHE_B,5627,0.7,2012
GRENACHE_G,1560,0.2,2012
GRENACHE_N,86087,10.6,2012
GROLLEAU_G,456,0.1,2012
GROLLEAU_N,2155,0.3,2012
HYBRID.DIV.CUVE,3543,0.4,2012
Inconnu,576,0.1,2012
JACQUERE_B,970,0.1,2012
JURANCON_NOIR_N,537,0.1,2012
LEN_DE_L'EL_B,613,0.1,2012
MACABEU_B,2063,0.3,2012
MARSANNE_B,1539,0.2,2012
MARSELAN,3633,0.4,2012
MAUZAC_B,1762,0.2,2012
MELON_B,10605,1.3,2012
MERLOT_N,113641,14.0,2012
MEUNIER_N,11021,1.4,2012
MOURVEDRE_N,9319,1.1,2012
MUSC.PTS.GRAINS_B,7869,1.0,2012
MUSCADELLE_B,1513,0.2,2012
MUSCAT_ALEXANDR._B,2686,0.3,2012
MUSCAT_HAMBOURG_N,703,0.1,2012
NEGRETTE_N,1113,0.1,2012
NIELLUCCIO_N,1600,0.2,2012
PETIT_VERDOT_N,1060,0.1,2012
PINEAU_D'AUNIS_N,445,0.1,2012
PINOT_BLANC_B,1228,0.2,2012
PINOT_GRIS_G,2761,0.3,2012
PINOT_N,31570,3.9,2012
PIQUEPOUL_B,1609,0.2,2012
PLANTET_N,941,0.1,2012
PT.MANSENG_B,1206,0.1,2012
RIESLING_B,3506,0.4,2012
ROUSSANNE_B,1797,0.2,2012
SAUVIGNON_B,28899,3.6,2012
SAUVIGNON_GRIS_G,762,0.1,2012
SAVAGNIN_BLANC_B,501,0.1,2012
SCIACCARELLO_N,884,0.1,2012
SEMILLON_B,11173,1.4,2012
SYLVANER_B,1190,0.1,2012
SYRAH_N,66112,8.2,2012
TANNAT_N,2784,0.3,2012
TEMPRANILLO_N,538,0.1,2012
TERRET_B,1218,0.2,2012
TIBOUREN_N,435,0.1,2012
UGNI_B,83306,10.3,2012
VERMENTINO_B,4784,0.6,2012
VILLARD_N,1243,0.2,2012
VINIFS._CUVE,1553,0.2,2012
VIOGNIER_B,5962,0.7,2012
AUTRES,8582,1.1,2012
ALICANTE_H.BOUS.N,3290,0.4,2013
ALIGOTE_B,1927,0.2,2013
ARAMON_N,1871,0.2,2013
AUXERROIS_B,2357,0.3,2013
BACO_BLANC_B,674,0.1,2013
BOURBOULENC_B,546,0.1,2013
CABER.SAUVIGNON_N,50037,6.2,2013
CABERNET_FRANC_N,33911,4.2,2013
CALADOC_N,3348,0.4,2013
CARIGNAN_N,38633,4.8,2013
CHAMBOURCIN_N,627,0.1,2013
CHARDONNAY_B,47489,5.9,2013
CHASAN_B,614,0.1,2013
CHASSELAS_B,534,0.1,2013
CHENANSON_N,456,0.1,2013
CHENIN_B,9728,1.2,2013
CINSAULT_N,18800,2.3,2013
CLAIRETTE_B,2241,0.3,2013
COLOMBARD_B,9186,1.1,2013
COT_N,6426,0.8,2013
DURAS_N,832,0.1,2013
FER_N,1543,0.2,2013
FOLLE_BLANCHE_B,1249,0.2,2013
GAMAY_N,26902,3.3,2013
GEWURZTRAMINER_RS,3339,0.4,2013
GR.MANSENG_BLANC_B,3173,0.4,2013
GRENACHE_B,5660,0.7,2013
GRENACHE_G,1590,0.2,2013
GRENACHE_N,85163,10.6,2013
GROLLEAU_G,451,0.1,2013
GROLLEAU_N,2123,0.3,2013
HYBRID.DIV.CUVE,3438,0.4,2013
Inconnu,464,0.1,2013
JACQUERE_B,955,0.1,2013
JURANCON_NOIR_N,494,0.1,2013
LEN_DE_L'EL_B,618,0.1,2013
MACABEU_B,1980,0.2,2013
MARSANNE_B,1582,0.2,2013
MARSELAN,4046,0.5,2013
MAUZAC_B,1685,0.2,2013
MELON_B,10414,1.3,2013
MERLOT_N,113544,14.1,2013
MEUNIER_N,10212,1.3,2013
MOURVEDRE_N,9303,1.2,2013
MUSC.PTS.GRAINS_B,7873,1.0,2013
MUSCADELLE_B,1498,0.2,2013
MUSCAT_ALEXANDR._B,2665,0.3,2013
MUSCAT_HAMBOURG_N,739,0.1,2013
NEGRETTE_N,1091,0.1,2013
NIELLUCCIO_N,1653,0.2,2013
PETIT_VERDOT_N,1127,0.1,2013
PINEAU_D'AUNIS_N,446,0.1,2013
PINOT_BLANC_B,1213,0.2,2013
PINOT_GRIS_G,2801,0.3,2013
PINOT_N,30749,3.8,2013
PIQUEPOUL_B,1636,0.2,2013
PLANTET_N,919,0.1,2013
PT.MANSENG_B,1249,0.2,2013
RIESLING_B,4010,0.5,2013
ROUSSANNE_B,1869,0.2,2013
SAUVIGNON_B,28982,3.6,2013
SAUVIGNON_GRIS_G,828,0.1,2013
SAVAGNIN_BLANC_B,502,0.1,2013
SCIACCARELLO_N,895,0.1,2013
SEMILLON_B,10957,1.4,2013
SYLVANER_B,1125,0.1,2013
SYRAH_N,65736,8.2,2013
TANNAT_N,2779,0.3,2013
TEMPRANILLO_N,502,0.1,2013
TERRET_B,1171,0.1,2013
TIBOUREN_N,431,0.1,2013
UGNI_B,83812,10.4,2013
VERMENTINO_B,5044,0.6,2013
VILLARD_N,1207,0.1,2013
VINIFS._CUVE,1533,0.2,2013
VIOGNIER_B,6134,0.8,2013
AUTRES,8800,1.1,2013
